Date,Time,Transaction,Item
2016-10-31,13:02:11,144,Soup
2016-10-31,13:02:11,144,Hearty & Seasonal
2016-10-31,13:05:49,145,Coffee
2016-10-31,13:05:49,145,Tea
2016-10-31,13:05:49,145,Focaccia
2016-10-31,13:08:30,146,Sandwich
2016-10-31,13:09:31,147,Tartine
2016-10-31,13:09:31,147,Coffee
2016-10-31,13:21:17,148,Fudge
2016-10-31,13:21:17,148,Coffee
2016-10-31,13:21:17,148,Coffee
2016-10-31,13:26:03,149,Coffee
2016-10-31,13:31:33,150,Bread
2016-10-31,13:50:17,151,Coke
2016-10-31,13:50:17,151,Soup
2016-10-31,13:51:18,152,Muffin
2016-10-31,13:55:22,153,Tea
2016-10-31,13:55:22,153,Coffee
2016-10-31,13:55:22,153,Cookies
2016-10-31,13:55:22,153,Muffin
2016-10-31,14:00:21,154,Mighty Protein
2016-10-31,14:00:21,154,Hearty & Seasonal
2016-10-31,14:00:21,154,Coffee
2016-10-31,14:00:21,154,Coke
2016-10-31,14:01:30,155,Tea
2016-10-31,14:01:30,155,Muffin
2016-10-31,14:01:30,155,Sandwich
2016-10-31,14:04:16,156,Coffee
2016-10-31,14:04:16,156,Muffin
2016-10-31,14:05:07,157,Coffee
2016-10-31,14:05:07,157,Bread
2016-10-31,14:20:29,158,Coffee
2016-10-31,14:20:29,158,Muffin
2016-10-31,14:22:31,159,Bread
2016-10-31,14:22:31,159,Hot chocolate
2016-10-31,14:22:31,159,Cookies
2016-10-31,14:35:27,160,Mineral water
2016-10-31,14:35:27,160,Muffin
2016-10-31,14:42:34,161,Tea
2016-10-31,14:44:48,162,Muffin
2016-10-31,14:47:16,163,Coffee
2016-10-31,14:47:16,163,Juice
2016-10-31,14:47:36,164,Coffee
2016-10-31,14:47:36,164,Muffin
2016-10-31,14:48:49,165,Tea
2016-10-31,14:49:28,166,Coffee
2016-10-31,14:49:28,166,Muffin
2016-10-31,14:50:42,167,Sandwich
2016-10-31,14:50:42,167,Hearty & Seasonal
2016-10-31,14:50:42,167,Bread
2016-10-31,14:50:42,167,Mineral water
2016-10-31,14:56:25,168,Tea
2016-10-31,14:56:25,168,Coffee
2016-10-31,15:05:17,169,Mineral water
2016-10-31,15:16:49,170,Coffee
2016-10-31,15:20:16,171,Soup
2016-10-31,15:20:16,171,Tea
2016-11-01,13:08:46,222,Scandinavian
2016-11-01,13:11:34,223,Alfajores
2016-11-01,13:11:34,223,Coffee
2016-11-01,13:15:08,224,Coffee
2016-11-01,13:19:00,225,Coffee
2016-11-01,13:19:00,225,Coke
2016-11-01,13:19:00,225,Soup
2016-11-01,13:21:52,226,Cake
2016-11-01,13:31:35,227,Tea
2016-11-01,13:31:35,227,Sandwich
2016-11-01,13:31:35,227,Soup
2016-11-01,13:33:54,228,Coffee
2016-11-01,13:37:48,229,Hearty & Seasonal
2016-11-01,13:37:48,229,Bread
2016-11-01,13:41:53,230,Alfajores
2016-11-01,13:45:21,231,Cake
2016-11-01,14:10:03,232,Tea
2016-11-01,14:10:03,232,Tea
2016-11-01,14:10:03,232,Bread
2016-11-01,14:13:26,233,Coffee
2016-11-01,14:13:26,233,Tea
2016-11-01,14:13:26,233,Bread
2016-11-01,14:13:26,233,Soup
2016-11-01,14:14:01,234,Coffee
2016-11-01,14:14:01,234,Coffee
2016-11-01,14:18:52,235,Scandinavian
2016-11-01,14:22:07,236,Fudge
2016-11-01,14:25:14,237,Coffee
2016-11-01,14:25:14,237,Sandwich
2016-11-01,14:37:16,238,Tea
2016-11-01,14:37:16,238,Bread
2016-11-01,14:37:16,238,Cookies
2016-11-01,14:37:16,238,Pastry
2016-11-01,14:37:26,239,Muffin
2016-11-01,14:42:31,240,Scandinavian
2016-11-01,14:54:33,241,Jam
2016-11-01,14:54:33,241,Tea
